kr,eng
"허물이 있다면, 버리기를 두려워 말라(공자, 인생명언).","When you have faults, do not fear to abandon them."
"인생은 겸손에 대한 오랜 수업이다. (제임스 M. 배리, 인생명언)",Life is a long lesson in humility. (James M. Barrie)
"인생은 끔찍하거나 비참하거나 둘 중 하나다. (우디 알렌, 인생명언)",Life is divided into the horrible and the miserable. (Woody Allen)
"인생은 다만 한 통의 살구 씨일 뿐이다. (로드니 데인저필드, 인생명언)",Life is just a bowl of pits. (Rodney Dangerfield)
"허물이 있다면, 버리기를 두려워말라. (공자, 인생명언)","When you have faults, do not fear to abandon them. (Confucius)"
"인생이 진지하다는 증거는 털끝만큼도 없다. (브렌단 길, 인생명언)",Not a shred of evidence exists in favor of the idea that life is serious. (Brendan Gill)
"바삐 태어나지 않은 자는 바삐 죽는다. (밥 딜런, 인생명언)",He not busy being born is busy dying. (Bob Dylan)
"인생이란 결코 공평하지 않다. 이 사실에 익숙해져라. (빌 게이츠, 인생명언)",Life is not fair; get used to it. (Bill Gates)
"인생은 과감한 모험이던가, 아니면 아무 것도 아니다. (헬렌 켈러, 인생명언)",Life is either a daring adventure or nothing. (Helen Keller)
"나이가 성숙을 보장하지는 않는다. (라와나 블랙웰, 인생명언)",Age is no guarantee of maturity. (Lawana Blackwell)
"여행은 되돌아 보았을 때에만 매력적이다. (폴 서룩스, 인생명언)",Travel is only glamorous in retrospect. (Paul Theroux)
"자연과 조화롭게 살아가는 것이 삶의 목적이다. (제노, 인생명언)",The goal of life is living in agreement with nature. (Zeno)
"젊은 날의 의무는 부패에 맞서는 것이다. (커트 코베인, 인생명언)",The duty of youth is to challenge corruption. (Kurt Cobain)
"때로는 살아있는 것조차도 용기가 될 때가 있다. (세네카, 인생명언)",Sometimes even to live is an act of courage. (Seneca)
"행복하게 여행하려면 가볍게 여행해야 한다. (생텍쥐페리, 인생명언)",He who would travel happily must travel light. (Antoine de Saint-Exupery)
"나는 죽음 후에 계속될 미성숙이 기대된다. (데이브 배리, 인생명언)",What I look forward to is continued immaturity followed by death. (Dave Barry)
"인생은 가까이서 보면 비극이지만 멀리서 보면 희극이다 (찰리 채플린, 인생명언)","Life is a tragedy when seen in close-up, but a comedy in long-shot. (Charlie Chaplin)"
"인생은 외국어이다. 모든 사람이 그것을 잘못 발음한다. (크리스토퍼 몰리, 인생명언)",Life is a foreign language; all men mispronounce it. (Christopher Morley)
"나만이 내 인생을 바꿀 수 있다. 아무도 날 대신해 해줄 수 없다. (캐롤 버넷, 인생명언)",Only I can change my life. No one can do it for me. (Carol Burnett)
"인생이란 진지하게 이야기하기에는 너무나 중요한 것이다 (오스카 와일드, 인생명언)",Life is far too important a thing ever to talk seriously about. (Oscar Wilde)
"인생은 스스로 되풀이하면서 변화하는 모습의 연속이 아닐까? (앤디 워홀, 인생명언)",Isn't life a series of images that change as they repeat themselves? (Andy Warhol)
"젊음은 한때 이지만, 철없음은 영원할 수 있다. (데이브 배리, 인생명언)",You can only be young once. But you can always be immature. (Dave Barry)
"사람들이 너를 내버려두면 삶은 아름다울 거야 (찰리 채플린, 인생명언)",Life could be wonderful if people would leave you alone. (Charlie Chaplin)
"오래 살기를 바라기 보다 잘 살기를 바라라. (벤자민 프랭클린, 인생명언)",Wish not so much to live long as to live well. (Benjamin Franklin)
"우리는 받아서 삶을 꾸려 나가고 주면서 인생을 꾸며 나간다. (윈스턴 처칠, 인생명언)","We make a living by what we get, we make a life by what we give. (Sir Winston Churchill)"
"삶은 당신이 잠들지 못할 때 벌어지는 일이다. (프란 레보비츠, 인생명언)",Life is something that happens when you can't get to sleep. (Fran Lebowitz)
"인생은 집을 향한 여행이다. (허먼 멜빌, 인생명언)",Life's a voyage that's homeward bound. (Herman Melville)
"인생은 본래 녹록지 않다. 하지만 멍청한 사람에게는 더욱 녹록지 않다. (존 웨인, 인생명언)","Life is tough, but it's tougher when you're stupid. (John Wayne)"
"늘 행복하고 지혜로운 사람이 되려면 자주 변해야 한다. (공자, 인생명언)",They must often change who would be constant in happiness or wisdom. (Confucius)
"인생에는 서두르는 것 말고도 더 많은 것이 있다. (마하트마 간디, 인생명언)",There is more to life than increasing its speed (Mahatma Gandhi)
"긴 인생은 충분히 좋지 않을 수도 있다, 그러나 좋은 인생은 충분히 길다. (벤자민 프랭클린, 인생명언)","A long life may not be good enough, but a good life is long enough. (Benjamin Franklin)"
"출생과 죽음은 피할 수 없으므로 그 사이를 즐겨라. (조지 산타야나, 인생명언)","There is no cure for birth and death, save to enjoy the interval. (George Santayana)"
"인생은 밀림 속의 동물원이다. (피터 드 브리스, 인생명언)",Life is a zoo in a jungle. (Peter De Vries)
"우리 모두는 인생에서 만회할 기회라 할 수 있는 큰 변화를 경험한다. (해리슨 포드, 인생명언)",We all have big changes in our lives that are more or less a second chance. (Harrison Ford)
"삶은 공평하지 않다. 다만 죽음보다는 공평할 뿐이다. (윌리엄 골드먼, 인생명언)","Life isn't fair. It's just fairer than death, that's all. (William Goldman)"
"어른이 된다는 것은 사춘기로부터의 일시적 휴식에 불과하다. (줄스 파이퍼, 인생명언)",Maturity is only a short break in adolescence. (Jules Feiffer)
"인생은 지긋지긋한 일의 반복이다. (엘버트 허버드, 인생명언)",Life is just one damned thing after another. (Elbert Hubbard)
"젊은이들에게 관대하라. (유베날리스, 인생명언)",Be gentle with the young. (Juvenal)
"인생은 사람들 앞에서 바이올린을 켜면서 바이올린을 배우는 것과 같다. (사무엘 버틀러, 인생명언)",Life is like playing a violin in public and learning the instrument as one goes on. (Samuel Butler)
"젊음은 알지 못한 것을 탄식하고 나이는 하지 못한 것을 탄식한다. (앙리 에스티엔, 인생명언)",If youth only knew: if age only could. (Henri Estienne)
"아이들은 우리가 확신할 수 있는 유일한 형태의 불멸이다. (피터 유스티노프 , 인생명언)",Children are the only form of immortality that we can be sure of. (Peter Ustinov)
"20대에는 의지, 30대에는 기지, 40대에는 판단이 지배한다. (벤자민 프랭클린, 인생명언)","At 20 years of age the will reigns, at 30 the wit, at 40 the judgment. (Benjamin Franklin)"
"젊음을 과소평가할 때 나이는 어리석고 부주의한 것이 되고 만다. (조앤 K. 롤링, 인생명언)",Age is foolish and forgetful when it underestimates youth. (J. K. Rowling)
"모두가 오래 살고 싶어 하지만 아무도 늙고 싶어 하지는 않는다. (벤자민 프랭클린, 인생명언)","All would live long, but none would be old. (Benjamin Franklin)"
"우리 중 아무도, 심지어 우리 중 가장 어린 사람도 잘못이 없지 않다. (W. H. 톰슨, 인생명언)",We are none of us infallible--not even the youngest of us. (W. H. Thompson)
"인생은 지긋지긋한 일의 반복이 아니라 지긋지긋한 일의 연속이다. (에드나 밀레이, 인생명언)",It's not true that life is one damn thing after another; it is one damn thing over and over. (Edna St. Vincent Millay)
"진정한 여행자는 걸어서 다니는 자이며, 걸으면서도 자주 앉는다. (콜레트, 인생명언)","The true traveler is he who goes on foot, and even then, he sits down a lot of the time. (Colette)"
"나는 젊음이요, 나는 기쁨이요, 나는 알에서 갓 깬 작은 새다. (제임스 M. 배리, 인생명언)","I'm youth, I'm joy, I'm a little bird that has broken out of the egg. (James M. Barrie)"
"세계는 변화다; 우리의 인생은 우리의 생각들이 결정한다. (마르쿠스 아우렐리우스 안토니우스, 인생명언)",The universe is change; our life is what our thoughts make it. (Marcus Aurelius Antoninus)
"인생은 거짓된 상황의 끝없는 연속이다. (소온톤 와일더, 인생명언)",Life is an unbroken succession of false situations. (Thornton Wilder)
